order_id,buyer_id,supplier_id,order_date,order_seq,n_skus,gmv,status,cogs_ratio,cogs,gross_profit
41,B0016,S028,2026-02-20,3,8,226.11,completed,0.680333365075177,153.8301771771483,72.27982282285171
42,B0016,S027,2026-05-24,4,5,272.4,completed,0.5562268165769023,151.5161848355482,120.88381516445179
43,B0017,S018,2026-05-10,1,3,141.23,completed,0.6339454633852245,89.53211779389525,51.69788220610474
44,B0017,S005,2026-05-28,2,4,243.57,completed,0.6402774048659351,155.9523675031958,87.61763249680419
45,B0017,S003,2026-06-09,3,4,248.33,completed,0.7494249000315423,186.1046854248329,62.22531457516712
46,B0017,S007,2026-06-25,4,4,80.15,completed,0.7089619097499859,56.82329706646137,23.326702933538634
47,B0018,S025,2026-02-09,1,3,77.2,completed,0.5959909211782173,46.01049911495838,31.189500885041625
48,B0019,S004,2026-03-02,1,2,54.57,cancelled,0.6352362604471946,34.66484273260341,19.90515726739659
49,B0019,S007,2026-04-03,2,6,268.85,completed,0.7089619097499859,190.6044094362837,78.24559056371632
50,B0019,S003,2026-05-16,3,1,44.67,completed,0.7494249000315423,33.476810284409,11.193189715591004
51,B0019,S013,2026-05-22,4,7,232.88,completed,0.6046519053996419,140.8113357294686,92.0686642705314
52,B0019,S021,2026-06-09,5,5,208.21,completed,0.604843040469734,125.93436945620333,82.27563054379668
53,B0020,S022,2026-02-08,1,3,161.35,completed,0.7467955295919657,120.49545869966366,40.85454130033634
54,B0020,S021,2026-02-10,2,4,142.87,completed,0.604843040469734,86.4139251919109,56.4560748080891
55,B0020,S008,2026-02-11,3,4,189.24,completed,0.6887364451562977,130.3364848813778,58.90351511862221
56,B0020,S005,2026-02-21,4,4,231.94,completed,0.6402774048659351,148.50594128460497,83.43405871539503
57,B0020,S016,2026-04-01,5,5,301.17,completed,0.6364669602085204,191.6847544060001,109.4852455939999
58,B0020,S003,2026-05-02,6,4,201.38,cancelled,0.7494249000315423,150.91918636835197,50.46081363164802
59,B0020,S029,2026-06-09,7,2,31.77,completed,0.6237052687447523,19.81511638802078,11.95488361197922
60,B0020,S013,2026-06-28,8,6,107.38,completed,0.6046519053996419,64.92752160181354,42.45247839818646
61,B0021,S024,2026-06-20,1,4,116.26,cancelled,0.7288198407358268,84.73259468394723,31.52740531605278
62,B0022,S009,2026-03-21,1,4,133.85,completed,0.5941539225577521,79.52750253435512,54.32249746564487
63,B0023,S018,2026-03-15,1,3,94.18,completed,0.6339454633852245,59.704983741620445,34.47501625837956
64,B0023,S023,2026-04-18,2,2,57.73,completed,0.6318668012630086,36.477670436913485,21.252329563086512
65,B0023,S027,2026-04-27,3,2,77.63,completed,0.5562268165769023,43.17988777086492,34.45011222913507
66,B0023,S019,2026-06-05,4,4,130.91,completed,0.6777051895328171,88.71838636174108,42.191613638258914
67,B0023,S007,2026-06-08,5,8,183.79,completed,0.7089619097499859,130.3001093929499,53.489890607050086
68,B0023,S006,2026-06-19,6,5,190.02,completed,0.5827247642383339,110.72935970056821,79.2906402994318
69,B0024,S010,2026-03-04,1,6,323.36,completed,0.5664762091231685,183.17574698206778,140.18425301793224
70,B0024,S026,2026-03-07,2,2,98.03,completed,0.5926209408050167,58.094630827115786,39.935369172884215
71,B0025,S027,2026-02-22,1,5,252.74,completed,0.5562268165769023,140.5807656216463,112.15923437835372
72,B0026,S008,2026-04-21,1,5,274.02,completed,0.6887364451562977,188.7275607017287,85.29243929827129
73,B0027,S022,2026-02-28,1,5,79.23,completed,0.7467955295919657,59.16860980957145,20.061390190428554
74,B0027,S013,2026-03-27,2,3,171.36,completed,0.6046519053996419,103.61315050928263,67.74684949071738
75,B0028,S005,2026-04-14,1,6,365.82,completed,0.6402774048659351,234.22628024805638,131.5937197519436
76,B0028,S022,2026-04-30,2,4,68.88,completed,0.7467955295919657,51.4392760782946,17.4407239217054
77,B0028,S000,2026-05-01,3,4,176.26,completed,0.6866590753213011,121.03052861613253,55.22947138386746
78,B0028,S007,2026-05-14,4,7,229.04,completed,0.7089619097499859,162.38063580913675,66.65936419086324
79,B0028,S020,2026-05-15,5,4,74.13,completed,0.6295188795925589,46.66623454419639,27.463765455803603
80,B0029,S008,2026-03-01,1,2,114.07,completed,0.6887364451562977,78.56416629897888,35.50583370102112
81,B0029,S018,2026-03-15,2,2,64.45,completed,0.6339454633852245,40.85778511517772,23.592214884822283
82,B0029,S001,2026-04-21,3,4,198.55,completed,0.6391805412753497,126.9092964702207,71.64070352977932
83,B0030,S012,2026-02-04,1,3,73.19,completed,0.680902242856227,49.83523515464726,23.35476484535274
84,B0031,S029,2026-04-04,1,6,101.45,completed,0.6237052687447523,63.27489951415512,38.17510048584488
85,B0031,S010,2026-04-22,2,2,66.76,completed,0.5664762091231685,37.817951721062734,28.94204827893727
86,B0031,S020,2026-04-30,3,7,352.86,completed,0.6295188795925589,222.13203185303036,130.72796814696966
87,B0032,S004,2026-02-14,1,3,54.2,cancelled,0.6352362604471946,34.42980531623795,19.77019468376205
88,B0033,S024,2026-04-24,1,2,97.27,completed,0.7288198407358268,70.89230590837387,26.377694091626125
89,B0033,S029,2026-06-24,2,1,32.6,completed,0.6237052687447523,20.332791761078926,12.267208238921075
90,B0034,S024,2026-03-21,1,7,349.74,completed,0.7288198407358268,254.8974510989481,94.84254890105191
91,B0035,S000,2026-01-25,1,4,214.75,completed,0.6866590753213011,147.4600364252494,67.2899635747506
92,B0035,S009,2026-02-17,2,3,96.51,completed,0.5941539225577521,57.34179506604866,39.168204933951344
93,B0035,S004,2026-03-20,3,4,98.63,completed,0.6352362604471946,62.6533523679068,35.9766476320932
94,B0036,S010,2026-01-14,1,2,97.25,completed,0.5664762091231685,55.08981133722814,42.16018866277186
95,B0037,S022,2026-04-09,1,4,79.1,cancelled,0.7467955295919657,59.071526390724486,20.02847360927551
96,B0038,S012,2026-04-08,1,1,29.01,cancelled,0.680902242856227,19.752974065259146,9.257025934740856
97,B0038,S006,2026-04-19,2,4,194.9,completed,0.5827247642383339,113.57305655005128,81.32694344994873
98,B0038,S002,2026-06-02,3,5,83.47,completed,0.6047253332563332,50.47642356690613,32.99357643309387
99,B0040,S016,2026-03-30,1,3,53.79,completed,0.6364669602085204,34.235557789616315,19.554442210383684
100,B0040,S022,2026-04-02,2,1,47.99,completed,0.7467955295919657,35.838717465118435,12.151282534881567
101,B0040,S009,2026-05-20,3,8,438.85,completed,0.5941539225577521,260.74444891446956,178.10555108553046
102,B0040,S002,2026-06-04,4,8,312.85,completed,0.6047253332563332,189.18832050924385,123.66167949075617
103,B0041,S015,2026-06-18,1,4,211.16,completed,0.5802115783561801,122.51747688569098,88.64252311430901
104,B0042,S003,2026-05-04,1,3,150.5,completed,0.7494249000315423,112.78844745474711,37.711552545252886
105,B0042,S021,2026-06-09,2,4,95.32,completed,0.604843040469734,57.65363861757504,37.66636138242495
106,B0042,S010,2026-06-14,3,2,49.67,completed,0.5664762091231685,28.13687330714778,21.53312669285222
107,B0043,S010,2026-01-10,1,7,375.11,completed,0.5664762091231685,212.49089080419176,162.61910919580825
108,B0043,S025,2026-03-17,2,5,254.74,completed,0.5959909211782173,151.82272726093908,102.91727273906093
109,B0043,S010,2026-04-30,3,4,160.05,completed,0.5664762091231685,90.66451727016313,69.38548272983688
110,B0044,S013,2026-02-09,1,1,50.28,completed,0.6046519053996419,30.401897803493995,19.878102196506006
111,B0045,S020,2026-06-21,1,2,62.03,completed,0.6295188795925589,39.04905610112643,22.98094389887357
112,B0045,S003,2026-06-23,2,3,159.51,completed,0.7494249000315423,119.5407658040313,39.969234195968696
113,B0046,S022,2026-03-26,1,5,263.54,completed,0.7467955295919657,196.81049386866667,66.72950613133335
114,B0047,S010,2026-04-22,1,4,231.23,cancelled,0.5664762091231685,130.98629383555024,100.24370616444975
115,B0047,S001,2026-05-18,2,3,189.74,completed,0.6391805412753497,121.27811590158487,68.46188409841514
116,B0048,S009,2026-01-08,1,7,326.54,cancelled,0.5941539225577521,194.0150218720084,132.52497812799163
117,B0048,S005,2026-01-13,2,4,78.0,completed,0.6402774048659351,49.941637579542935,28.058362420457065
118,B0049,S010,2026-03-10,1,5,102.22,completed,0.5664762091231685,57.90519809657029,44.31480190342971
119,B0049,S023,2026-03-30,2,6,282.86,completed,0.6318668012630086,178.72984340525463,104.13015659474539
120,B0049,S018,2026-04-13,3,8,219.19,completed,0.6339454633852245,138.95450611940737,80.23549388059263
121,B0049,S016,2026-04-14,4,4,59.86,completed,0.6364669602085204,38.098912238082036,21.761087761917963
122,B0049,S009,2026-04-18,5,4,162.05,completed,0.5941539225577521,96.28264315048374,65.76735684951628
123,B0049,S026,2026-05-03,6,2,82.78,completed,0.5926209408050167,49.05716147983928,33.72283852016072
124,B0049,S023,2026-05-09,7,7,105.08,completed,0.6318668012630086,66.39656347671695,38.68343652328305
125,B0050,S025,2026-04-20,1,5,194.95,completed,0.5959909211782173,116.18843008369345,78.76156991630654
126,B0050,S006,2026-05-18,2,2,60.87,completed,0.5827247642383339,35.470456399187384,25.399543600812613
127,B0050,S014,2026-05-24,3,6,329.04,completed,0.7401727124500821,243.546429304575,85.493570695425
128,B0050,S022,2026-06-07,4,5,163.47,completed,0.7467955295919657,122.07866522239864,41.39133477760136
129,B0051,S008,2026-01-13,1,6,205.44,completed,0.6887364451562977,141.4940152929098,63.94598470709019
130,B0051,S006,2026-02-15,2,3,94.74,completed,0.5827247642383339,55.207344163939744,39.53265583606025
131,B0051,S026,2026-03-12,3,4,136.35,completed,0.5926209408050167,80.80386527876402,55.54613472123597
132,B0052,S019,2026-02-26,1,8,421.93,completed,0.6777051895328171,285.94415061958154,135.98584938041847
133,B0052,S018,2026-03-01,2,5,200.81,completed,0.6339454633852245,127.30258850238694,73.50741149761306
134,B0052,S000,2026-04-18,3,3,151.1,completed,0.6866590753213011,103.75418628104859,47.345813718951405
135,B0052,S002,2026-04-28,4,7,240.41,completed,0.6047253332563332,145.38201736815506,95.02798263184494
136,B0052,S022,2026-04-29,5,4,165.07,completed,0.7467955295919657,123.27353806974577,41.796461930254225
137,B0052,S029,2026-04-30,6,5,278.3,completed,0.6237052687447523,173.57717629166456,104.72282370833545
138,B0052,S000,2026-05-04,7,5,173.28,completed,0.6866590753213011,118.98428457167506,54.29571542832494
139,B0052,S021,2026-05-10,8,8,496.92,completed,0.604843040469734,300.55860367022024,196.36139632977978
140,B0053,S019,2026-03-03,1,2,88.69,completed,0.6777051895328171,60.10567325966555,28.584326740334447
141,B0053,S001,2026-04-05,2,6,141.7,completed,0.6391805412753497,90.57188269871705,51.12811730128294
142,B0053,S018,2026-04-30,3,1,60.23,completed,0.6339454633852245,38.18253525969207,22.04746474030793
143,B0053,S026,2026-05-20,4,3,126.74,cancelled,0.5926209408050167,75.10877803762781,51.63122196237218
144,B0053,S008,2026-06-18,5,7,123.61,completed,0.6887364451562977,85.13471198576997,38.47528801423003
145,B0053,S002,2026-06-22,6,7,396.14,completed,0.6047253332563332,239.55589351616382,156.58410648383617
146,B0054,S014,2026-02-25,1,1,24.68,completed,0.7401727124500821,18.267462543268024,6.412537456731975
147,B0055,S021,2026-04-28,1,3,167.45,completed,0.604843040469734,101.28096712665696,66.16903287334303
148,B0055,S007,2026-06-01,2,3,149.85,completed,0.7089619097499859,106.23794217603538,43.61205782396462
149,B0056,S020,2026-03-15,1,5,279.82,completed,0.6295188795925589,176.15197288758984,103.66802711241016
150,B0056,S024,2026-03-23,2,7,216.89,cancelled,0.7288198407358268,158.07373525719348,58.81626474280651
151,B0056,S000,2026-03-27,3,4,162.95,completed,0.6866590753213011,111.891096323606,51.05890367639398
152,B0056,S011,2026-03-31,4,6,262.37,completed,0.6860998604149426,180.0120203770685,82.35797962293151
153,B0056,S016,2026-04-02,5,7,246.42,completed,0.6364669602085204,156.8381883345836,89.58181166541638
154,B0056,S025,2026-04-07,6,3,117.58,completed,0.5959909211782173,70.07661251213479,47.50338748786521
155,B0057,S025,2026-02-01,1,6,273.29,completed,0.5959909211782173,162.87835884879502,110.411641151205
156,B0057,S002,2026-02-14,2,4,191.58,completed,0.6047253332563332,115.85327934524831,75.7267206547517
157,B0057,S024,2026-04-06,3,3,117.01,completed,0.7288198407358268,85.2792095644991,31.730790435500907
158,B0057,S008,2026-05-01,4,3,165.81,completed,0.6887364451562977,114.19938997136573,51.61061002863427
159,B0057,S007,2026-05-20,5,5,202.06,completed,0.7089619097499859,143.25284348408215,58.80715651591785
160,B0057,S012,2026-05-23,6,4,128.28,completed,0.680902242856227,87.3461397135968,40.9338602864032
161,B0057,S007,2026-06-16,7,3,147.04,completed,0.7089619097499859,104.24575920963791,42.79424079036208
162,B0057,S026,2026-06-19,8,7,125.23,completed,0.5926209408050167,74.21392041701225,51.01607958298776
163,B0057,S008,2026-06-29,9,8,360.01,completed,0.6887364451562977,247.95200762071875,112.05799237928125
164,B0058,S005,2026-02-15,1,6,170.29,completed,0.6402774048659351,109.03283927462009,61.257160725379904
165,B0058,S009,2026-02-21,2,5,226.15,completed,0.5941539225577521,134.36790958643564,91.78209041356436
166,B0058,S000,2026-03-07,3,7,225.77,completed,0.6866590753213011,155.02701943529016,70.74298056470985
167,B0058,S028,2026-05-06,4,4,204.73,completed,0.680333365075177,139.284649831841,65.445350168159
168,B0058,S011,2026-05-24,5,7,217.17,completed,0.6860998604149426,149.00030668631308,68.1696933136869
169,B0058,S026,2026-05-29,6,3,53.73,completed,0.5926209408050167,31.841523149453547,21.88847685054645
170,B0058,S013,2026-05-31,7,5,82.88,completed,0.6046519053996419,50.11354991952231,32.76645008047768
171,B0058,S028,2026-06-30,8,9,408.99,completed,0.680333365075177,278.24954298209667,130.74045701790334
172,B0059,S011,2026-06-02,1,2,105.25,completed,0.6860998604149426,72.21201030867272,33.03798969132728
173,B0059,S000,2026-06-06,2,8,311.59,completed,0.6866590753213011,213.9561012793642,97.63389872063578
174,B0059,S025,2026-06-23,3,4,109.98,completed,0.5959909211782173,65.54708151118034,44.432918488819666
175,B0060,S028,2026-05-14,1,2,46.32,completed,0.680333365075177,31.5130414702822,14.8069585297178
176,B0060,S005,2026-06-07,2,3,166.13,completed,0.6402774048659351,106.3692852703778,59.760714729622194
177,B0061,S025,2026-03-05,1,4,74.66,completed,0.5959909211782173,44.4966821751657,30.163317824834294
178,B0061,S027,2026-03-16,2,4,104.57,completed,0.5562268165769023,58.16463820944667,46.40536179055332
179,B0061,S022,2026-03-25,3,2,94.8,completed,0.7467955295919657,70.79621620531834,24.003783794681652
180,B0061,S008,2026-06-25,4,5,78.76,completed,0.6887364451562977,54.24488242051001,24.515117579489996
181,B0062,S008,2026-02-08,1,6,223.74,completed,0.6887364451562977,154.09789223927007,69.64210776072994
182,B0063,S013,2026-05-09,1,6,323.01,completed,0.6046519053996419,195.3086119631383,127.70138803686169
183,B0063,S020,2026-05-17,2,3,172.05,completed,0.6295188795925589,108.30872323389977,63.74127676610024
184,B0063,S012,2026-05-23,3,3,80.23,cancelled,0.680902242856227,54.6287869443551,25.601213055644905
185,B0063,S022,2026-05-28,4,2,111.05,completed,0.7467955295919657,82.93164356118778,28.118356438812214
186,B0064,S016,2026-02-24,1,7,291.81,completed,0.6364669602085204,185.72742365844834,106.08257634155166
187,B0065,S020,2026-03-17,1,3,50.7,completed,0.6295188795925589,31.91660719534274,18.783392804657264
188,B0065,S008,2026-03-22,2,3,76.9,completed,0.6887364451562977,52.9638326325193,23.936167367480707
189,B0065,S026,2026-05-25,3,8,421.09,completed,0.5926209408050167,249.54675196358446,171.54324803641552
190,B0065,S008,2026-06-24,4,4,124.5,completed,0.6887364451562977,85.74768742195907,38.75231257804093
191,B0066,S012,2026-02-20,1,4,205.12,completed,0.680902242856227,139.6666680546693,65.45333194533072
192,B0066,S002,2026-03-23,2,4,204.89,completed,0.6047253332563332,123.9021735308901,80.98782646910989
193,B0066,S022,2026-03-31,3,6,135.43,completed,0.7467955295919657,101.13851857263992,34.29148142736008
194,B0066,S016,2026-04-11,4,3,149.43,completed,0.6364669602085204,95.10725786395922,54.32274213604079
195,B0067,S022,2026-03-07,1,8,442.69,completed,0.7467955295919657,330.5989129950673,112.09108700493272
196,B0067,S012,2026-03-13,2,2,78.13,completed,0.680902242856227,53.19889223435701,24.931107765642984
197,B0068,S028,2026-05-07,1,6,108.25,completed,0.680333365075177,73.64608676938792,34.60391323061208
198,B0068,S007,2026-06-11,2,6,351.4,completed,0.7089619097499859,249.12921508614502,102.27078491385495
199,B0069,S014,2026-04-19,1,5,215.47,completed,0.7401727124500821,159.48501435161918,55.984985648380814
200,B0069,S022,2026-04-27,2,2,95.14,completed,0.7467955295919657,71.05012668537962,24.089873314620377
201,B0069,S002,2026-05-02,3,5,95.95,completed,0.6047253332563332,58.023395725945164,37.92660427405484
202,B0069,S025,2026-05-03,4,3,108.79,completed,0.5959909211782173,64.83785231497826,43.95214768502174
203,B0069,S003,2026-05-31,5,5,196.75,cancelled,0.7494249000315423,147.44934908120595,49.30065091879405
204,B0069,S012,2026-06-02,6,4,111.97,completed,0.680902242856227,76.24062413261174,35.729375867388256
205,B0069,S005,2026-06-16,7,6,317.43,completed,0.6402774048659351,203.2432566265938,114.18674337340622
206,B0070,S019,2026-01-09,1,5,175.96,completed,0.6777051895328171,119.2490051501945,56.7109948498055
207,B0070,S008,2026-04-14,2,3,116.8,completed,0.6887364451562977,80.44441679425557,36.35558320574442
208,B0071,S022,2026-04-21,1,3,160.39,completed,0.7467955295919657,119.77853499125537,40.61146500874462
209,B0071,S018,2026-04-25,2,1,37.21,completed,0.6339454633852245,23.589110692564205,13.620889307435796
210,B0071,S014,2026-05-02,3,4,71.64,completed,0.7401727124500821,53.02597311992388,18.614026880076118
211,B0071,S007,2026-05-02,4,3,109.34,completed,0.7089619097499859,77.51789521206345,31.822104787936553
212,B0071,S028,2026-06-16,5,3,53.63,completed,0.680333365075177,36.48627836898175,17.143721631018252
213,B0072,S019,2026-06-05,1,4,90.33,completed,0.6777051895328171,61.21710977049937,29.11289022950063
214,B0073,S003,2026-03-11,1,2,106.23,completed,0.7494249000315423,79.61140713035074,26.618592869649262
215,B0074,S018,2026-03-31,1,6,138.5,completed,0.6339454633852245,87.8014466788536,50.698553321146406
216,B0074,S025,2026-04-03,2,2,70.07,completed,0.5959909211782173,41.76108384695768,28.30891615304231
217,B0075,S009,2026-02-10,1,2,122.23,completed,0.5941539225577521,72.62343395423405,49.60656604576596
218,B0075,S011,2026-02-13,2,4,58.77,completed,0.6860998604149426,40.32208879658618,18.447911203413824
219,B0075,S028,2026-02-16,3,5,208.61,completed,0.680333365075177,141.9243432883327,66.68565671166732
220,B0075,S017,2026-03-11,4,2,79.33,completed,0.7387231840335198,58.60291018937912,20.727089810620875
221,B0075,S011,2026-03-29,5,2,109.63,completed,0.6860998604149426,75.21712769729015,34.41287230270984
222,B0075,S001,2026-04-06,6,4,196.19,completed,0.6391805412753497,125.40083039281086,70.78916960718914
223,B0075,S011,2026-04-22,7,3,94.85,completed,0.6860998604149426,65.07657176035731,29.773428239642683
224,B0075,S023,2026-05-09,8,5,226.07,completed,0.6318668012630086,142.84612776152835,83.22387223847164
225,B0075,S015,2026-05-14,9,8,359.46,completed,0.5802115783561801,208.5628539559125,150.8971460440875
226,B0075,S020,2026-06-09,10,4,184.43,completed,0.6295188795925589,116.10216696325564,68.32783303674437
227,B0076,S014,2026-06-16,1,5,248.72,completed,0.7401727124500821,184.09575704058443,64.62424295941557
228,B0077,S012,2026-02-16,1,4,131.15,completed,0.680902242856227,89.30032915059418,41.849670849405825
229,B0078,S014,2026-04-02,1,6,249.44,completed,0.7401727124500821,184.62868139354848,64.81131860645152
230,B0079,S009,2026-02-15,1,2,87.48,completed,0.5941539225577521,51.97658514535216,35.50341485464784
231,B0079,S009,2026-02-23,2,3,151.55,completed,0.5941539225577521,90.04402696362735,61.505973036372666
232,B0079,S003,2026-03-04,3,5,133.11,completed,0.7494249000315423,99.7559484431986,33.35405155680141
233,B0079,S021,2026-03-12,4,6,252.47,completed,0.604843040469734,152.70472242739376,99.76527757260624
234,B0079,S010,2026-04-18,5,4,140.85,completed,0.5664762091231685,79.78817405499828,61.061825945001715
235,B0079,S016,2026-05-15,6,2,123.24,completed,0.6364669602085204,78.43818817609805,44.80181182390194
236,B0079,S024,2026-06-28,7,6,336.99,completed,0.7288198407358268,245.6049981295663,91.38500187043371
237,B0080,S028,2026-04-05,1,3,123.63,completed,0.680333365075177,84.10961392424413,39.520386075755866
238,B0081,S028,2026-01-23,1,4,175.06,completed,0.680333365075177,119.0991588900605,55.96084110993951
239,B0082,S020,2026-03-18,1,4,133.65,completed,0.6295188795925589,84.1351982575455,49.51480174245451
240,B0082,S018,2026-03-20,2,7,380.19,completed,0.6339454633852245,241.0197257244285,139.1702742755715
241,B0082,S000,2026-04-05,3,3,56.19,completed,0.6866590753213011,38.58337344230391,17.60662655769609
242,B0082,S017,2026-04-30,4,3,165.93,completed,0.7387231840335198,122.57633792668194,43.35366207331806
243,B0082,S016,2026-06-13,5,3,170.12,completed,0.6364669602085204,108.2757592706735,61.8442407293265
244,B0083,S020,2026-02-17,1,3,97.6,completed,0.6295188795925589,61.44104264823375,36.15895735176625
245,B0083,S027,2026-04-01,2,6,141.7,completed,0.5562268165769023,78.81733990894705,62.88266009105294
246,B0083,S002,2026-05-14,3,4,211.75,completed,0.6047253332563332,128.05058931702854,83.69941068297146
247,B0083,S005,2026-06-22,4,6,230.44,cancelled,0.6402774048659351,147.54552517730608,82.89447482269392
248,B0084,S024,2026-04-01,1,3,47.12,completed,0.7288198407358268,34.34199089547216,12.77800910452784
249,B0084,S026,2026-05-03,2,4,216.11,cancelled,0.5926209408050167,128.07131151737218,88.03868848262783
250,B0085,S014,2026-02-28,1,6,194.25,cancelled,0.7401727124500821,143.77854939342845,50.47145060657155
251,B0085,S022,2026-03-03,2,1,25.24,completed,0.7467955295919657,18.849119166901215,6.390880833098784
252,B0085,S027,2026-03-13,3,5,104.7,completed,0.5562268165769023,58.23694769560167,46.46305230439833
253,B0085,S012,2026-04-20,4,3,163.51,completed,0.680902242856227,111.33432572942168,52.17567427057831
254,B0085,S022,2026-05-04,5,8,262.92,completed,0.7467955295919657,196.34748064031965,66.57251935968037
255,B0086,S012,2026-04-29,1,1,49.67,completed,0.680902242856227,33.820414402668796,15.849585597331206
256,B0087,S010,2026-04-15,1,4,174.37,completed,0.5664762091231685,98.7764565848069,75.59354341519311
257,B0087,S012,2026-05-15,2,4,159.76,completed,0.680902242856227,108.78094231871083,50.97905768128916
258,B0087,S022,2026-05-20,3,5,113.64,completed,0.7467955295919657,84.86584398283098,28.77415601716902
259,B0087,S028,2026-05-29,4,4,200.52,completed,0.680333365075177,136.42044636487452,64.09955363512549
260,B0087,S017,2026-06-12,5,4,182.86,completed,0.7387231840335198,135.08292143236943,47.77707856763058
261,B0088,S022,2026-03-30,1,4,181.24,completed,0.7467955295919657,135.34922178324788,45.890778216752125
262,B0089,S004,2026-04-11,1,4,206.66,completed,0.6352362604471946,131.27792558401723,75.38207441598277
263,B0090,S022,2026-01-18,1,4,218.11,completed,0.7467955295919657,162.88357295930365,55.226427040696365
264,B0090,S018,2026-01-27,2,4,229.9,completed,0.6339454633852245,145.74406203226312,84.15593796773689
265,B0090,S024,2026-02-10,3,4,170.78,completed,0.7288198407358268,124.46785240086452,46.312147599135486
266,B0090,S029,2026-03-08,4,5,235.3,completed,0.6237052687447523,146.75784973564024,88.54215026435978
