buyer_id,signup_date,channel,buyer_type
B0129,2026-02-28,referral,supermarket
B0130,2026-04-28,sales_led,supermarket
B0131,2026-04-06,organic,hotel
B0132,2026-04-23,paid_ads,supermarket
B0133,2026-03-03,organic,restaurant
B0134,2026-02-21,referral,supermarket
B0135,2026-01-12,sales_led,restaurant
B0136,2026-02-08,organic,restaurant
B0137,2026-05-10,sales_led,cafe
B0138,2026-04-23,sales_led,supermarket
B0139,2026-04-11,paid_ads,supermarket
B0140,2026-04-23,organic,supermarket
B0141,2026-03-22,sales_led,hotel
B0142,2026-04-23,paid_ads,cafe
B0143,2026-01-02,sales_led,restaurant
B0144,2026-05-10,paid_ads,restaurant
B0145,2026-02-23,referral,restaurant
B0146,2026-03-28,paid_ads,supermarket
B0147,2026-05-09,paid_ads,hotel
B0148,2026-05-06,referral,restaurant
B0149,2026-05-10,paid_ads,restaurant
B0150,2026-02-22,organic,restaurant
B0151,2026-03-09,organic,supermarket
B0152,2026-05-03,sales_led,supermarket
B0153,2026-02-07,sales_led,cafe
B0154,2026-01-24,sales_led,supermarket
B0155,2026-03-10,organic,restaurant
B0156,2026-04-26,organic,supermarket
B0157,2026-04-08,organic,restaurant
B0158,2026-04-07,paid_ads,supermarket
B0159,2026-05-04,paid_ads,restaurant
B0160,2026-03-11,paid_ads,cafe
B0161,2026-04-03,paid_ads,supermarket
B0162,2026-01-03,referral,restaurant
B0163,2026-03-31,organic,restaurant
B0164,2026-04-06,paid_ads,restaurant
B0165,2026-02-21,sales_led,hotel
B0166,2026-05-08,paid_ads,cafe
B0167,2026-02-08,sales_led,supermarket
B0168,2026-03-23,referral,supermarket
B0169,2026-04-14,referral,supermarket
B0170,2026-05-09,organic,restaurant
B0171,2026-01-11,referral,supermarket
B0172,2026-02-11,paid_ads,restaurant
B0173,2026-04-09,organic,restaurant
B0174,2026-01-07,paid_ads,restaurant
B0175,2026-03-31,referral,cafe
B0176,2026-04-22,paid_ads,supermarket
B0177,2026-03-01,organic,supermarket
B0178,2026-04-23,sales_led,cafe
B0179,2026-01-02,organic,restaurant
B0180,2026-05-09,organic,restaurant
B0181,2026-02-17,organic,restaurant
B0182,2026-02-06,organic,supermarket
B0183,2026-01-09,organic,cafe
B0184,2026-04-09,organic,cafe
B0185,2026-02-17,sales_led,restaurant
B0186,2026-02-23,organic,supermarket
B0187,2026-04-30,organic,restaurant
B0188,2026-04-26,referral,restaurant
B0189,2026-03-16,paid_ads,supermarket
B0190,2026-04-23,sales_led,hotel
B0191,2026-04-14,organic,supermarket
B0192,2026-03-25,organic,hotel
B0193,2026-04-22,organic,restaurant
B0194,2026-04-09,organic,supermarket
B0195,2026-04-03,organic,restaurant
B0196,2026-05-08,organic,cafe
B0197,2026-04-20,organic,cafe
B0198,2026-03-23,organic,cafe
B0199,2026-02-23,paid_ads,restaurant
B0200,2026-03-09,organic,restaurant
B0201,2026-02-02,paid_ads,cafe
B0202,2026-01-21,paid_ads,supermarket
B0203,2026-02-17,sales_led,restaurant
B0204,2026-05-08,organic,supermarket
B0205,2026-05-08,sales_led,hotel
B0206,2026-02-02,sales_led,hotel
B0207,2026-04-25,organic,supermarket
B0208,2026-04-29,referral,cafe
B0209,2026-01-22,referral,hotel
B0210,2026-02-07,organic,supermarket
B0211,2026-04-19,organic,restaurant
B0212,2026-02-20,sales_led,hotel
B0213,2026-01-08,sales_led,supermarket
B0214,2026-01-27,organic,restaurant
B0215,2026-01-27,organic,supermarket
B0216,2026-01-21,paid_ads,hotel
B0217,2026-01-30,paid_ads,hotel
B0218,2026-04-07,sales_led,hotel
B0219,2026-01-28,paid_ads,restaurant
B0220,2026-04-21,paid_ads,cafe
B0221,2026-03-02,sales_led,cafe
B0222,2026-02-17,organic,restaurant
B0223,2026-01-04,organic,cafe
B0224,2026-02-04,sales_led,supermarket
B0225,2026-02-18,referral,restaurant
B0226,2026-01-17,paid_ads,supermarket
B0227,2026-02-15,paid_ads,supermarket
B0228,2026-04-27,organic,supermarket
B0229,2026-01-06,paid_ads,restaurant
B0230,2026-04-09,paid_ads,restaurant
B0231,2026-05-04,organic,cafe
B0232,2026-02-06,organic,supermarket
B0233,2026-01-24,paid_ads,restaurant
B0234,2026-04-03,organic,restaurant
B0235,2026-02-15,organic,cafe
B0236,2026-04-05,organic,restaurant
B0237,2026-04-09,organic,restaurant
B0238,2026-04-26,organic,cafe
B0239,2026-03-08,referral,restaurant
B0240,2026-05-08,paid_ads,supermarket
B0241,2026-01-18,sales_led,supermarket
B0242,2026-01-25,sales_led,cafe
B0243,2026-02-23,paid_ads,supermarket
B0244,2026-02-27,organic,cafe
B0245,2026-03-08,paid_ads,restaurant
B0246,2026-04-14,paid_ads,hotel
B0247,2026-01-24,sales_led,cafe
B0248,2026-04-24,paid_ads,hotel
B0249,2026-02-01,organic,restaurant
B0250,2026-03-27,organic,cafe
B0251,2026-05-07,paid_ads,restaurant
B0252,2026-05-10,sales_led,restaurant
B0253,2026-01-17,paid_ads,restaurant
B0254,2026-04-14,paid_ads,cafe
B0255,2026-02-12,referral,hotel
B0256,2026-02-08,sales_led,cafe
B0257,2026-01-26,organic,restaurant
B0258,2026-04-09,organic,restaurant
B0259,2026-02-19,organic,cafe
B0260,2026-01-13,organic,supermarket
B0261,2026-03-01,organic,supermarket
B0262,2026-02-26,organic,restaurant
B0263,2026-02-05,organic,supermarket
B0264,2026-01-20,organic,supermarket
B0265,2026-03-06,referral,supermarket
B0266,2026-01-08,organic,supermarket
B0267,2026-04-25,paid_ads,supermarket
B0268,2026-04-02,paid_ads,hotel
B0269,2026-04-08,referral,restaurant
B0270,2026-03-07,organic,restaurant
B0271,2026-02-01,paid_ads,restaurant
B0272,2026-03-27,referral,supermarket
B0273,2026-02-20,referral,hotel
B0274,2026-03-04,sales_led,cafe
B0275,2026-05-05,organic,supermarket
B0276,2026-02-27,organic,restaurant
B0277,2026-02-27,sales_led,cafe
B0278,2026-03-27,referral,hotel
B0279,2026-02-18,paid_ads,restaurant
B0280,2026-03-11,paid_ads,restaurant
B0281,2026-01-15,organic,supermarket
B0282,2026-02-23,sales_led,hotel
B0283,2026-04-11,organic,supermarket
B0284,2026-01-08,organic,hotel
B0285,2026-02-22,paid_ads,restaurant
B0286,2026-03-01,paid_ads,restaurant
B0287,2026-04-18,organic,restaurant
B0288,2026-01-05,organic,supermarket
B0289,2026-04-13,sales_led,supermarket
B0290,2026-01-06,organic,supermarket
B0291,2026-04-19,paid_ads,supermarket
B0292,2026-04-26,organic,cafe
B0293,2026-04-04,paid_ads,restaurant
B0294,2026-02-16,paid_ads,supermarket
B0295,2026-04-09,organic,hotel
B0296,2026-02-24,organic,cafe
B0297,2026-02-21,organic,hotel
B0298,2026-01-13,organic,hotel
B0299,2026-04-24,referral,supermarket
B0300,2026-05-04,organic,restaurant
B0301,2026-04-16,sales_led,cafe
B0302,2026-04-30,organic,restaurant
B0303,2026-03-04,sales_led,supermarket
B0304,2026-01-19,sales_led,cafe
B0305,2026-04-02,paid_ads,supermarket
B0306,2026-02-27,paid_ads,supermarket
B0307,2026-03-31,paid_ads,restaurant
B0308,2026-04-27,organic,restaurant
B0309,2026-03-03,referral,restaurant
B0310,2026-01-23,sales_led,supermarket
B0311,2026-05-07,referral,cafe
B0312,2026-05-09,organic,supermarket
B0313,2026-02-27,sales_led,supermarket
B0314,2026-05-02,referral,cafe
B0315,2026-01-01,organic,hotel
B0316,2026-02-03,organic,cafe
B0317,2026-04-06,sales_led,cafe
B0318,2026-05-06,paid_ads,restaurant
B0319,2026-04-28,sales_led,restaurant
B0320,2026-02-17,organic,supermarket
B0321,2026-03-30,sales_led,restaurant
B0322,2026-04-27,organic,restaurant
B0323,2026-05-09,organic,supermarket
B0324,2026-01-16,organic,cafe
B0325,2026-03-10,sales_led,restaurant
B0326,2026-01-22,sales_led,supermarket
B0327,2026-04-03,paid_ads,supermarket
B0328,2026-03-17,paid_ads,restaurant
B0329,2026-03-27,referral,supermarket
B0330,2026-01-29,paid_ads,cafe
B0331,2026-03-10,sales_led,restaurant
B0332,2026-02-16,paid_ads,restaurant
B0333,2026-04-04,paid_ads,restaurant
B0334,2026-03-26,paid_ads,cafe
B0335,2026-02-08,organic,restaurant
B0336,2026-04-10,sales_led,restaurant
B0337,2026-02-02,paid_ads,restaurant
B0338,2026-04-11,organic,supermarket
B0339,2026-01-23,referral,cafe
B0340,2026-01-10,paid_ads,cafe
B0341,2026-03-10,paid_ads,restaurant
B0342,2026-04-10,referral,cafe
B0343,2026-02-03,sales_led,cafe
B0344,2026-04-06,organic,cafe
B0345,2026-01-01,referral,cafe
B0346,2026-03-10,sales_led,restaurant
B0347,2026-01-04,organic,restaurant
B0348,2026-01-16,organic,restaurant
B0349,2026-01-24,sales_led,cafe
B0350,2026-03-21,sales_led,supermarket
B0351,2026-01-02,paid_ads,cafe
B0352,2026-05-08,referral,cafe
B0353,2026-03-25,sales_led,supermarket
B0354,2026-05-04,organic,cafe
B0355,2026-02-02,organic,supermarket
B0356,2026-04-11,organic,restaurant
B0357,2026-01-12,sales_led,cafe
B0358,2026-03-08,organic,supermarket
B0359,2026-03-06,paid_ads,cafe
B0360,2026-03-15,sales_led,cafe
B0361,2026-02-12,referral,restaurant
B0362,2026-02-13,organic,supermarket
B0363,2026-01-29,sales_led,supermarket
B0364,2026-01-12,organic,restaurant
B0365,2026-04-05,sales_led,hotel
B0366,2026-02-15,organic,restaurant
B0367,2026-05-10,paid_ads,supermarket
B0368,2026-02-04,sales_led,restaurant
B0369,2026-03-22,organic,restaurant
B0370,2026-03-31,organic,cafe
B0371,2026-01-08,sales_led,supermarket
B0372,2026-04-03,sales_led,cafe
B0373,2026-03-31,sales_led,restaurant
B0374,2026-04-25,sales_led,hotel
B0375,2026-04-15,paid_ads,restaurant
B0376,2026-02-27,organic,restaurant
B0377,2026-04-24,organic,hotel
B0378,2026-03-16,organic,supermarket
B0379,2026-04-30,referral,hotel
B0380,2026-01-21,paid_ads,restaurant
B0381,2026-04-11,paid_ads,supermarket
B0382,2026-04-09,paid_ads,restaurant
B0383,2026-02-05,referral,cafe
B0384,2026-04-06,organic,supermarket
B0385,2026-02-06,paid_ads,restaurant
B0386,2026-01-12,paid_ads,restaurant
B0387,2026-04-23,sales_led,restaurant
B0388,2026-01-13,organic,supermarket
B0389,2026-01-23,referral,cafe
B0390,2026-04-09,referral,hotel
B0391,2026-04-15,paid_ads,hotel
B0392,2026-01-30,sales_led,cafe
B0393,2026-01-17,referral,supermarket
B0394,2026-04-23,sales_led,cafe
B0395,2026-03-03,organic,supermarket
B0396,2026-03-25,paid_ads,supermarket
B0397,2026-04-22,sales_led,restaurant
B0398,2026-03-27,paid_ads,restaurant
B0399,2026-01-19,sales_led,cafe
